Mark,WIND,Competitor,DOB,Nat,Venue,Date,Event,Age,Gender,is_indoor
14.72,-0.4,Anna PYATYKH,1981-04-04,RUS,"Stade de France, Paris-St-Denis (FRA)",2003-08-26,triple jump,22,F,0
14.72,-0.6,Baya RAHOULI,1979-07-27,ALG,"Olympic Stadium, Athina (GRE)",2005-06-14,triple jump,25,F,0
14.72,+0.9,Anna PYATYKH,1981-04-04,RUS,"Stadio Luigi Ridolfi, Firenze (ITA)",2005-06-18,triple jump,24,F,0
14.72,+0.7,Chrysopigi DEVETZI,1976-01-02,GRE,"Olympiastadion, Helsinki (FIN)",2005-08-06,triple jump,29,F,0
14.72,+0.8,Yamilé ALDAMA,1972-08-14,SUD,"Olympiastadion, Helsinki (FIN)",2005-08-07,triple jump,32,F,0
14.72,+1.2,Anna PYATYKH,1981-04-04,RUS,Rieti (ITA),2005-08-28,triple jump,24,F,0
14.72,0.0,Yargelis SAVIGNE,1984-11-13,CUB,"Olimpiyskiy Stadion, Moskva (RUS) (i)",2006-03-11,triple jump,21,F,1
14.72,+1.3,Yargelis SAVIGNE,1984-11-13,CUB,"Olympic Stadium, Athina (GRE)",2007-07-02,triple jump,22,F,0
14.72,+0.2,Marija ŠESTAK,1979-04-17,SLO,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-31,triple jump,28,F,0
14.72,+0.6,Tatyana LEBEDEVA,1976-07-21,RUS,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2007-09-23,triple jump,31,F,0
14.72,-0.2,Yargelis SAVIGNE,1984-11-13,CUB,Huelva (ESP),2008-06-13,triple jump,23,F,0
14.72,+0.1,Yargelis SAVIGNE,1984-11-13,CUB,La Habana (CUB),2009-05-29,triple jump,24,F,0
14.72,+1.0,Paraskevi PAPACHRISTOU,1989-04-17,GRE,Chania (GRE),2011-06-11,triple jump,22,F,0
14.72,+0.4,Olga RYPAKOVA,1984-11-30,KAZ,"Boudewijnstadion, Bruxelles (BEL)",2012-09-07,triple jump,27,F,0
14.72,-0.5,Yekaterina KONEVA,1988-09-25,RUS,"Stade de France, Paris-St-Denis (FRA)",2015-07-04,triple jump,26,F,0
14.72,+1.7,Keturah ORJI,1996-03-05,USA,"Stade Charléty, Paris (FRA)",2019-08-24,triple jump,23,F,0
14.72,+0.5,Yulimar ROJAS,1995-10-21,VEN,"Hayward Field, Eugene, OR (USA)",2022-07-16,triple jump,26,F,0
14.72,+1.8,Tori FRANKLIN,1992-10-07,USA,"Hayward Field, Eugene, OR (USA)",2022-07-18,triple jump,29,F,0
14.72,+1.5,Shanieka RICKETTS,1992-02-02,JAM,"Stadio Colbachini, Padova (ITA)",2022-09-04,triple jump,30,F,0
14.72,+6.4,Ilionis GUILLAUME,1998-01-13,FRA,"Stade Omnisports Schlossberg, Forbach (FRA)",2024-05-26,triple jump,26,F,0
14.72,+3.2,Shanieka RICKETTS,1992-02-02,JAM,"Suhaim bin Hamad Stadium, Doha (QAT)",2025-05-16,triple jump,33,F,0
14.72,+1.3,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"Bislett Stadion, Oslo (NOR)",2025-06-12,triple jump,23,F,0
14.72,-0.1,Davisleydi VELAZCO,1999-09-04,CUB,"Boudewijnstadion, Bruxelles (BEL)",2025-08-22,triple jump,25,F,0
14.72,-0.6,Liadagmis POVEA,1996-02-06,CUB,"Letzigrund, Zürich (SUI)",2025-08-28,triple jump,29,F,0
14.72,+0.2,Liadagmis POVEA,1996-02-06,CUB,"National Stadium, Tokyo (JPN)",2025-09-18,triple jump,29,F,0
14.71,+1.6,Yolanda CHEN,1961-07-26,RUS,Villeneuve d'Ascq (FRA),1993-07-02,triple jump,31,F,0
14.71,+1.0,Sofiya BOZHANOVA,1967-10-04,BUL,Istanbul (TUR),1994-06-11,triple jump,26,F,0
14.71,0.0,Iva PRANDZHEVA,1972-02-15,BUL,"Palau Sant Jordi, Barcelona (ESP) (i)",1995-03-11,triple jump,23,F,1
14.71,+0.9,Iva PRANDZHEVA,1972-02-15,BUL,Paris (FRA),1995-07-03,triple jump,23,F,0
14.71,0.0,Šárka KAŠPÁRKOVÁ,1971-05-20,CZE,Praha (CZE) (i),1999-01-20,triple jump,27,F,1
14.71,0.0,Šárka KAŠPÁRKOVÁ,1971-05-20,CZE,Praha (CZE) (i),1999-01-24,triple jump,27,F,1
14.71,+0.5,Adelina GAVRILĂ,1978-11-26,ROU,Bucureşti (ROU),1999-06-13,triple jump,20,F,0
14.71,0.0,Tereza MARINOVA,1977-09-25,BUL,Liévin (FRA) (i),2002-02-24,triple jump,24,F,1
14.71,0.0,Ashia HANSEN,1971-12-05,GBR,"Ferry-Dusika-Halle, Wien (AUT) (i)",2002-03-02,triple jump,30,F,1
14.71,0.0,Ashia HANSEN,1971-12-05,GBR,"National Indoor Arena, Birmingham (GBR) (i)",2003-02-21,triple jump,31,F,1
14.71,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,"Sportaréna, Budapest (HUN) (i)",2004-03-05,triple jump,27,F,1
14.71,0.0,Trecia Kaye SMITH,1975-11-05,JAM,"Sportaréna, Budapest (HUN) (i)",2004-03-06,triple jump,28,F,1
14.71,-0.1,Magdelín MARTÍNEZ,1976-02-10,ITA,Napoli (ITA),2004-06-08,triple jump,28,F,0
14.71,+2.5,Simona LA MANTIA,1983-04-14,ITA,Roma (ITA),2004-06-26,triple jump,21,F,0
14.71,0.0,Adelina GAVRILĂ,1978-11-26,ROU,Bucureşti (ROU),2004-08-08,triple jump,25,F,0
14.71,+0.2,Tatyana LEBEDEVA,1976-07-21,RUS,"Olympic Stadium, Athina (GRE)",2004-08-21,triple jump,28,F,0
14.71,0.0,Magdelín MARTÍNEZ,1976-02-10,ITA,Avezzano (ITA),2004-09-12,triple jump,28,F,0
14.71,+3.0,Yamilé ALDAMA,1972-08-14,SUD,"Olympic Stadium, Athina (GRE)",2006-07-03,triple jump,33,F,0
14.71,-0.1,Chrysopigi DEVETZI,1976-01-02,GRE,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,triple jump,30,F,0
14.71,+2.6,Yamilé ALDAMA,1972-08-14,SUD,Bambous (MRI),2006-08-13,triple jump,33,F,0
14.71,+1.3,Magdelín MARTÍNEZ,1976-02-10,ITA,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-31,triple jump,31,F,0
14.71,+1.9,Anna PYATYKH,1981-04-04,RUS,"Stadio Guidobaldi, Rieti (ITA)",2007-09-09,triple jump,26,F,0
14.71,+0.5,Anna PYATYKH,1981-04-04,RUS,Shanghai (CHN),2008-09-20,triple jump,27,F,0
14.71,+0.3,Olha SALADUKHA,1983-06-04,UKR,"Bislett Stadion, Oslo (NOR)",2011-06-09,triple jump,28,F,0
14.71,+0.1,Caterine IBARGUEN,1984-02-12,COL,"Stadio Olimpico, Roma (ITA)",2012-05-31,triple jump,28,F,0
14.71,-0.9,Olga RYPAKOVA,1984-11-30,KAZ,"Icahn Stadium, New York, NY (USA)",2012-06-09,triple jump,27,F,0
14.71,+2.0,Zhanna KNYAZHEVA,1989-09-25,UKR,Yalta (UKR),2012-06-15,triple jump,22,F,0
14.71,+1.4,Athanasia PERRA,1983-02-02,GRE,Athina (GRE),2012-06-16,triple jump,29,F,0
14.71,0.0,Keturah ORJI,1996-03-05,USA,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,triple jump,20,F,0
14.71,+0.6,Liadagmis POVEA,1996-02-06,CUB,"Stade Louis II, Monaco (MON)",2019-07-11,triple jump,23,F,0
14.71,+1.0,Shanieka RICKETTS,1992-02-02,JAM,"Stade Charléty, Paris (FRA)",2019-08-24,triple jump,27,F,0
14.71,+0.7,Yulimar ROJAS,1995-10-21,VEN,Castellón (ESP),2020-09-05,triple jump,24,F,0
14.71,+3.6,Keturah ORJI,1996-03-05,USA,"CVEATC, Chula Vista, CA (USA)",2021-07-18,triple jump,25,F,0
14.71,+2.7,Thea LAFOND,1994-04-05,DMA,"Stadio Colbachini, Padova (ITA)",2022-09-04,triple jump,28,F,0
14.7,+0.6,Inna LASOVSKAYA,1969-12-17,RUS,Bratislava (SVK),1993-06-01,triple jump,23,F,0
14.7,+0.1,Yolanda CHEN,1961-07-26,RUS,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-21,triple jump,32,F,0
14.7,+0.8,Inessa KRAVETS,1966-10-05,UKR,Luzern (SUI),1994-06-29,triple jump,27,F,0
14.7,+1.5,Anna BIRYUKOVA,1967-09-27,RUS,Sheffield (GBR),1994-09-04,triple jump,26,F,0
14.7,0.0,Ashia HANSEN,1971-12-05,GBR,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1997-03-08,triple jump,25,F,1
14.7,-0.3,Ashia HANSEN,1971-12-05,GBR,Bratislava (SVK),1997-06-10,triple jump,25,F,0
14.7,+3.9,Olena HOVOROVA,1973-09-18,UKR,Lille (FRA),1998-07-11,triple jump,24,F,0
14.7,-0.3,Rodica MATEESCU,1971-03-13,ROU,Nice (FRA),1998-07-16,triple jump,27,F,0
14.7,0.0,Tereza MARINOVA,1977-09-25,BUL,Pireaus (GRE) (i),1999-02-13,triple jump,21,F,1
14.7,+1.3,Cristina NICOLAU,1977-08-09,ROU,"Ullevi Stadium, Göteborg (SWE)",1999-08-01,triple jump,21,F,0
14.7,+0.5,Francoise MBANGO ETONE,1976-04-14,CMR,Johannesburg (RSA),1999-09-18,triple jump,23,F,0
14.7,+2.0,Olena HOVOROVA,1973-09-18,UKR,Rethymno (GRE),2000-06-10,triple jump,26,F,0
14.7,+0.6,Tereza MARINOVA,1977-09-25,BUL,Linz (AUT),2001-08-20,triple jump,23,F,0
14.7,0.0,Oksana ROGOVA,1978-10-07,RUS,Volgograd (RUS) (i),2002-02-06,triple jump,23,F,1
14.7,+3.3,Francoise MBANGO ETONE,1976-04-14,CMR,St-Etienne (FRA),2002-07-13,triple jump,26,F,0
14.7,+2.6,Yelena OLEYNIKOVA,1976-12-09,RUS,Pyrgos (GRE),2003-07-27,triple jump,26,F,0
14.7,+0.7,Magdelín MARTÍNEZ,1976-02-10,ITA,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,triple jump,27,F,0
14.7,+1.5,Anna PYATYKH,1981-04-04,RUS,Rethymno (GRE),2004-06-23,triple jump,23,F,0
14.7,+0.8,Anna PYATYKH,1981-04-04,RUS,"Stade de France, Paris-St-Denis (FRA)",2005-07-01,triple jump,24,F,0
14.7,+1.8,Yargelis SAVIGNE,1984-11-13,CUB,Salamanca (ESP),2006-07-05,triple jump,21,F,0
14.7,+2.5,Yamilé ALDAMA,1972-08-14,SUD,Madrid (ESP),2006-07-17,triple jump,33,F,0
14.7,+2.0,Magdelín MARTÍNEZ,1976-02-10,ITA,"Stadio Guidobaldi, Rieti (ITA)",2007-09-09,triple jump,31,F,0
14.7,0.0,Adelina GAVRILĂ,1978-11-26,ROU,Athina (GRE) (i),2008-02-09,triple jump,29,F,1
14.7,+1.2,Olha SALADUKHA,1983-06-04,UKR,"National Stadium, Beijing (CHN)",2008-08-17,triple jump,25,F,0
14.7,-0.8,Yargelis SAVIGNE,1984-11-13,CUB,La Habana (CUB),2009-04-23,triple jump,24,F,0
14.7,+1.5,Olha SALADUKHA,1983-06-04,UKR,"Poljud Stadion, Split (CRO)",2010-09-04,triple jump,27,F,0
14.7,+2.7,Senni SALMINEN,1996-01-29,FIN,"Urheilukenttä, Orimattila (FIN)",2021-06-15,triple jump,25,F,0
14.7,+1.7,Liadagmis POVEA,1996-02-06,CUB,Castellón (ESP),2021-06-29,triple jump,25,F,0
14.7,+0.1,Liadagmis POVEA,1996-02-06,CUB,"National Stadium, Tokyo (JPN)",2021-08-01,triple jump,25,F,0
14.7,+1.9,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"Hayward Field, Eugene, OR (USA)",2022-07-18,triple jump,20,F,0
14.7,+0.3,Maryna BEKH-ROMANCHUK,1995-07-18,UKR,"Stadion Śląski, Chorzów (POL)",2023-07-16,triple jump,27,F,0
14.69,0.0,Anna BIRYUKOVA,1967-09-27,RUS,Madrid (ESP) (i),1995-02-09,triple jump,27,F,1
14.69,+1.2,Anna BIRYUKOVA,1967-09-27,RUS,Paris (FRA),1995-07-03,triple jump,27,F,0
14.69,+0.4,Inna LASOVSKAYA,1969-12-17,RUS,Paris (FRA),1995-07-03,triple jump,25,F,0
14.69,-0.4,Šárka KAŠPÁRKOVÁ,1971-05-20,CZE,"Stade Olympique de la Pontaise, Lausanne (SUI)",1997-07-02,triple jump,26,F,0
14.69,+0.3,Rodica MATEESCU,1971-03-13,ROU,"Stade Louis II, Monaco (MON)",1997-08-16,triple jump,26,F,0
14.69,0.0,Yelena LEBEDYENKO,1971-01-16,RUS,Moskva (RUS) (i),1999-02-14,triple jump,28,F,1
14.69,+1.2,Anja VALANT-VELEPEC,1977-09-08,SLO,Kalamata (GRE),2000-06-04,triple jump,22,F,0
14.69,-0.6,Anna PYATYKH,1981-04-04,RUS,Tula (RUS),2004-08-01,triple jump,23,F,0
14.69,+1.2,Simona LA MANTIA,1983-04-14,ITA,Palermo (ITA),2005-05-22,triple jump,22,F,0
14.69,+1.4,Magdelín MARTÍNEZ,1976-02-10,ITA,Padova (ITA),2005-07-03,triple jump,29,F,0
14.69,+3.0,Trecia Kaye SMITH,1975-11-05,JAM,"Olympiastadion, Helsinki (FIN)",2005-08-06,triple jump,29,F,0
14.69,+0.4,Trecia Kaye SMITH,1975-11-05,JAM,"Stade Louis II, Monaco (MON)",2005-09-10,triple jump,29,F,0
14.69,0.0,Anna PYATYKH,1981-04-04,RUS,Moskva (RUS) (i),2006-02-17,triple jump,24,F,1
14.69,+2.0,Teresa NZOLA MESO,1983-11-30,FRA,"Olympiastadion, München (GER)",2007-06-23,triple jump,23,F,0
14.69,+1.6,Olga RYPAKOVA,1984-11-30,KAZ,Amman (JOR),2007-07-28,triple jump,22,F,0
14.69,+5.0,Olga RYPAKOVA,1984-11-30,KAZ,Madrid (ESP),2009-07-04,triple jump,24,F,0
14.69,+2.8,Olga RYPAKOVA,1984-11-30,KAZ,Milano (ITA),2011-09-18,triple jump,26,F,0
14.69,-1.1,Caterine IBARGUEN,1984-02-12,COL,"Shanghai Stadium, Shanghai (CHN)",2013-05-18,triple jump,29,F,0
14.69,-1.3,Caterine IBARGUEN,1984-02-12,COL,"Stade de France, Paris-St-Denis (FRA)",2013-07-06,triple jump,29,F,0
14.69,+0.4,Olha SALADUKHA,1983-06-04,UKR,"Luzhniki Stadion, Moskva (RUS)",2013-08-13,triple jump,30,F,0
14.69,+1.1,Yekaterina KONEVA,1988-09-25,RUS,"Letzigrund, Zürich (SUI)",2014-08-16,triple jump,25,F,0
14.69,0.0,Yekaterina KONEVA,1988-09-25,RUS,"O2 Arena, Praha (CZE) (i)",2015-03-08,triple jump,26,F,1
14.69,+0.4,Caterine IBARGUEN,1984-02-12,COL,"Olympiastadion, Stockholm (SWE)",2015-07-30,triple jump,31,F,0
14.69,0.0,Yulimar ROJAS,1995-10-21,VEN,Madrid (ESP) (i),2016-01-23,triple jump,20,F,1
14.69,+1.3,Nubia SOARES,1996-03-26,BRA,Sotteville-lès-Rouen (FRA),2018-07-17,triple jump,22,F,0
14.69,-0.8,Liadagmis POVEA,1996-02-06,CUB,La Habana (CUB),2019-06-01,triple jump,23,F,0
14.69,+1.0,Shanieka RICKETTS,1992-02-02,JAM,Kingston (JAM),2019-06-08,triple jump,27,F,0
14.69,+1.6,Kimberly WILLIAMS,1988-11-03,JAM,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,triple jump,32,F,0
14.69,+2.1,Yekaterina KONEVA,1988-09-25,RUS,"Olympic Stadium, Cheboksary (RUS)",2021-06-25,triple jump,32,F,0
14.68,+0.2,Inna LASOVSKAYA,1969-12-17,RUS,Moskva (RUS),1993-06-18,triple jump,23,F,0
14.68,+2.7,Ruiping REN,1976-02-01,CHN,Shijiazhuang (CHN),1999-04-25,triple jump,23,F,0
14.68,+0.2,Yamilé ALDAMA,1972-08-14,CUB,Zürich (SUI),1999-08-11,triple jump,26,F,0
14.68,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,"Topsporthal Vlaanderen, Gent (BEL) (i)",2000-02-26,triple jump,23,F,1
14.68,+0.2,Iva PRANDZHEVA,1972-02-15,BUL,Sofia (BUL),2000-06-10,triple jump,28,F,0
14.68,+0.8,Magdelín MARTÍNEZ,1976-02-10,ITA,Trikala (GRE),2003-06-24,triple jump,27,F,0
14.68,-0.2,Anna PYATYKH,1981-04-04,RUS,Athina (GRE),2006-05-31,triple jump,25,F,0
14.68,0.0,Marija ŠESTAK,1979-04-17,SLO,"Velódromo Luis Puig, Valencia (ESP) (i)",2008-03-08,triple jump,28,F,1
14.68,0.0,Marija ŠESTAK,1979-04-17,SLO,Kalamata (GRE),2008-06-04,triple jump,29,F,0
14.68,0.0,Anastasiya POTAPOVA,1985-09-06,RUS,"Oval Lingotto, Torino (ITA) (i)",2009-03-08,triple jump,23,F,1
14.68,+3.8,Yamilé ALDAMA,1972-08-14,SUD,Madrid (ESP),2009-07-04,triple jump,36,F,0
14.68,+1.0,Anna PYATYKH,1981-04-04,RUS,Rabat (MAR),2010-06-06,triple jump,29,F,0
14.68,+0.5,Yargelis SAVIGNE,1984-11-13,CUB,"Shanghai Stadium, Shanghai (CHN)",2011-05-15,triple jump,26,F,0
14.68,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,Cheboksary (RUS),2012-07-04,triple jump,35,F,0
14.68,-0.6,Olga RYPAKOVA,1984-11-30,KAZ,"Stade Olympique de la Pontaise, Lausanne (SUI)",2012-08-23,triple jump,27,F,0
14.68,0.0,Yekaterina KONEVA,1988-09-25,RUS,Volgograd (RUS) (i),2015-01-24,triple jump,26,F,1
14.68,-0.1,Caterine IBARGUEN,1984-02-12,COL,"Bislett Stadion, Oslo (NOR)",2015-06-11,triple jump,31,F,0
14.68,+0.5,Hanna MINENKO,1989-09-25,ISR,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,triple jump,26,F,0
14.68,+0.5,Nubia SOARES,1996-03-26,BRA,Castellón (ESP),2021-06-29,triple jump,25,F,0
14.68,+2.9,Thea LAFOND,1994-04-05,DMA,"Centro Sportivo Fontanassa, Savona (ITA)",2023-05-24,triple jump,29,F,0
14.68,0.0,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"Stade de France, Paris (FRA)",2024-08-02,triple jump,22,F,0
14.68,+1.8,Jasmine MOORE,2001-05-01,USA,"Hayward Field, Eugene, OR (USA)",2025-08-02,triple jump,24,F,0
14.67,0.0,Inna LASOVSKAYA,1969-12-17,RUS,Grenoble (FRA) (i),1994-02-06,triple jump,24,F,1
14.67,+2.1,Inessa KRAVETS,1966-10-05,UKR,"Olympiastadion, Helsinki (FIN)",1994-08-08,triple jump,27,F,0
14.67,0.0,Inessa KRAVETS,1966-10-05,UKR,Moskva (RUS) (i),1995-01-27,triple jump,28,F,1
14.67,0.0,Yolanda CHEN,1961-07-26,RUS,Madrid (ESP) (i),1995-02-09,triple jump,33,F,1
14.67,+0.8,Ashia HANSEN,1971-12-05,GBR,London (GBR),1996-08-11,triple jump,24,F,0
14.67,+0.7,Olena HOVOROVA,1973-09-18,UKR,"Olympic Stadium, Athina (GRE)",1997-08-04,triple jump,23,F,0
14.67,0.0,Ashia HANSEN,1971-12-05,GBR,London (GBR),1997-08-17,triple jump,25,F,0
14.67,0.0,Rodica MATEESCU,1971-03-13,ROU,Köln (GER),1997-08-24,triple jump,26,F,0
14.67,+1.3,Tereza MARINOVA,1977-09-25,BUL,Athina (GRE),1998-06-17,triple jump,20,F,0
14.67,+1.2,Paraskevi TSIAMITA,1972-03-10,GRE,Kalamata (GRE),1999-05-22,triple jump,27,F,0
14.67,+1.2,Olga VASDEKI,1973-09-26,GRE,Chania (GRE),1999-07-28,triple jump,25,F,0
14.67,+0.1,Anna PYATYKH,1981-04-04,RUS,"Parc des Sports, Annecy (FRA)",2002-06-23,triple jump,21,F,0
14.67,+0.8,Magdelín MARTÍNEZ,1976-02-10,ITA,"Olympiastadion, Berlin (GER)",2003-08-10,triple jump,27,F,0
14.67,0.0,Magdelín MARTÍNEZ,1976-02-10,ITA,"Sportaréna, Budapest (HUN) (i)",2004-03-06,triple jump,28,F,1
14.67,+1.5,Baya RAHOULI,1979-07-27,ALG,Zaragoza (ESP),2004-06-08,triple jump,24,F,0
14.67,+3.0,Yusmay BICET,1983-12-08,CUB,Zaragoza (ESP),2004-06-08,triple jump,20,F,0
14.67,-0.8,Trecia Kaye SMITH,1975-11-05,JAM,Zürich (SUI),2005-08-19,triple jump,29,F,0
14.67,+1.1,Anna PYATYKH,1981-04-04,RUS,Tula (RUS),2006-06-12,triple jump,25,F,0
14.67,+1.2,Trecia Kaye SMITH,1975-11-05,JAM,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,triple jump,30,F,0
14.67,+0.5,Chrysopigi DEVETZI,1976-01-02,GRE,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2006-09-10,triple jump,30,F,0
14.67,-0.1,Yamilé ALDAMA,1972-08-14,SUD,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2006-09-10,triple jump,34,F,0
14.67,-0.3,Yargelis SAVIGNE,1984-11-13,CUB,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-29,triple jump,22,F,0
14.67,+0.8,Olha SALADUKHA,1983-06-04,UKR,Moskva (RUS),2008-06-10,triple jump,25,F,0
14.67,0.0,Anastasiya POTAPOVA,1985-09-06,RUS,Volgograd (RUS) (i),2009-01-24,triple jump,23,F,1
14.67,0.0,Anna PYATYKH,1981-04-04,RUS,Cheboksary (RUS),2009-07-26,triple jump,28,F,0
14.67,+1.5,Natalya ALEKSEYEVA,1986-11-28,RUS,Huelva (ESP),2011-06-02,triple jump,24,F,0
14.67,+0.4,Mabel GAY,1983-05-05,CUB,"DS, Daegu (KOR)",2011-09-01,triple jump,28,F,0
14.67,+0.4,Olha SALADUKHA,1983-06-04,UKR,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16,triple jump,28,F,0
14.67,+0.3,Yekaterina KONEVA,1988-09-25,RUS,"Stade Olympique de la Pontaise, Lausanne (SUI)",2014-07-03,triple jump,25,F,0
14.67,+1.2,Yulimar ROJAS,1995-10-21,VEN,Baie Mahault (FRA),2017-05-17,triple jump,21,F,0
14.67,0.0,Yekaterina KONEVA,1988-09-25,RUS,Moskva (RUS) (i),2019-02-03,triple jump,30,F,1
14.67,0.0,Shanieka RICKETTS,1992-02-02,JAM,"Stade Louis II, Monaco (MON)",2019-07-11,triple jump,27,F,0
14.67,+0.5,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"Stadion Śląski, Chorzów (POL)",2023-07-16,triple jump,21,F,0
14.67,+1.4,Shanieka RICKETTS,1992-02-02,JAM,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-23,triple jump,31,F,0
14.67,+1.8,Thea LAFOND,1994-04-05,DMA,"Stadio Quercia, Rovereto (ITA)",2023-09-06,triple jump,29,F,0
14.67,+1.4,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"Olympiastadion, Stockholm (SWE)",2024-06-02,triple jump,22,F,0
14.67,+1.3,Shanieka RICKETTS,1992-02-02,JAM,"Stade Louis II, Monaco (MON)",2024-07-12,triple jump,32,F,0
14.67,+0.7,Jasmine MOORE,2001-05-01,USA,"Stade de France, Paris (FRA)",2024-08-03,triple jump,23,F,0
14.66,+0.1,Anna BIRYUKOVA,1967-09-27,RUS,Tokyo (JPN),1994-09-15,triple jump,26,F,0
14.66,+3.2,Sheila HUDSON,1967-06-30,USA,"Sacramento, CA (USA)",1995-06-17,triple jump,27,F,0
14.66,-0.8,Ashia HANSEN,1971-12-05,GBR,Gateshead (GBR),1995-08-21,triple jump,23,F,0
14.66,0.0,Šárka KAŠPÁRKOVÁ,1971-05-20,CZE,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1997-03-08,triple jump,25,F,1
14.66,+1.9,Ruiping REN,1976-02-01,CHN,Hiroshima (JPN),1997-04-29,triple jump,21,F,0
14.66,+2.0,Paraskevi TSIAMITA,1972-03-10,GRE,Bratislava (SVK),1999-06-08,triple jump,27,F,0
14.66,+1.1,Olena HOVOROVA,1973-09-18,UKR,Bruxelles (BEL),1999-09-03,triple jump,25,F,0
14.66,+0.2,Tatyana LEBEDEVA,1976-07-21,RUS,"Olympiastadion, München (GER)",1999-09-11,triple jump,23,F,0
14.66,0.0,Tatyana LEBEDEVA,1976-07-21,RUS,Karlsruhe (GER) (i),2000-01-29,triple jump,23,F,1
14.66,0.0,Yelena LEBEDYENKO,1971-01-16,RUS,Samara (RUS) (i),2000-01-30,triple jump,29,F,1
14.66,0.0,Iva PRANDZHEVA,1972-02-15,BUL,Pireaus (GRE) (i),2000-02-09,triple jump,27,F,1
14.66,+0.6,Anna PYATYKH,1981-04-04,RUS,Trikala (GRE),2003-06-24,triple jump,22,F,0
14.66,+0.2,Yamilé ALDAMA,1972-08-14,CUB,Zürich (SUI),2003-08-15,triple jump,31,F,0
14.66,+1.7,Anna PYATYKH,1981-04-04,RUS,"Stade Olympique de la Pontaise, Lausanne (SUI)",2004-07-06,triple jump,23,F,0
14.66,+0.6,Qiuyan HUANG,1980-01-25,CHN,"Olympic Stadium, Athina (GRE)",2004-08-21,triple jump,24,F,0
14.66,+2.1,Baya RAHOULI,1979-07-27,ALG,Huelva (ESP),2005-06-07,triple jump,25,F,0
14.66,0.0,Mabel GAY,1983-05-05,CUB,La Habana (CUB),2007-03-08,triple jump,23,F,0
14.66,+1.7,Caterine IBARGUEN,1984-02-12,COL,Castres (FRA),2011-07-19,triple jump,27,F,0
14.66,-0.8,Caterine IBARGUEN,1984-02-12,COL,"Crystal Palace, London (GBR)",2012-07-14,triple jump,28,F,0
14.66,+0.4,Gabriela PETROVA,1992-06-29,BUL,"National Stadium, Beijing (CHN)",2015-08-24,triple jump,23,F,0
14.66,+2.6,Kimberly WILLIAMS,1988-11-03,JAM,Kingston (JAM),2016-07-03,triple jump,27,F,0
14.66,-0.4,Caterine IBARGUEN,1984-02-12,COL,"Boudewijnstadion, Bruxelles (BEL)",2016-09-09,triple jump,32,F,0
14.66,+2.0,Yekaterina KONEVA,1988-09-25,RUS,Kazan (RUS),2018-07-22,triple jump,29,F,0
14.66,+0.3,Keturah ORJI,1996-03-05,USA,"Athens, GA (USA)",2019-04-27,triple jump,23,F,0
14.66,-0.2,Patrícia MAMONA,1988-11-21,POR,"Stade Louis II, Monaco (MON)",2021-07-09,triple jump,32,F,0
14.66,+0.4,Leyanis PÉREZ HERNÁNDEZ,2002-01-10,CUB,"National Stadium, Tokyo (JPN)",2025-09-16,triple jump,23,F,0
14.65,+1.8,Yolanda CHEN,1961-07-26,RUS,Stockholm (SWE),1993-07-05,triple jump,31,F,0
14.65,0.0,Inna LASOVSKAYA,1969-12-17,RUS,Madrid (ESP) (i),1994-02-11,triple jump,24,F,1
14.65,-0.9,Inessa KRAVETS,1966-10-05,UKR,Stockholm (SWE),1995-07-10,triple jump,28,F,0
14.65,+0.6,Inessa KRAVETS,1966-10-05,UKR,Bruxelles (BEL),1995-08-25,triple jump,28,F,0
14.65,0.0,Iva PRANDZHEVA,1972-02-15,BUL,Stockholm (SWE) (i),1996-02-25,triple jump,24,F,1
14.65,0.0,Rodica MATEESCU,1971-03-13,ROU,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1997-03-08,triple jump,25,F,1
14.65,+0.3,Fiona MAY,1969-12-12,ITA,"Petrovskiy Stadium, St. Petersburg (RUS)",1998-06-27,triple jump,28,F,0
