Mark,Competitor,DOB,Nat,Venue,Date,Event,Age,Gender,is_indoor
2.32,Anton RIEPL,1969-02-28,GER,Wuppertal (GER) (i),1995-02-03,high jump,25,M,1
2.32,Dalton GRANT,1966-04-08,GBR,Wuppertal (GER) (i),1995-02-03,high jump,28,M,1
2.32,Tony BARTON,1969-10-17,USA,"Palau Sant Jordi, Barcelona (ESP) (i)",1995-03-12,high jump,25,M,1
2.32,Steinar HOEN,1971-02-08,NOR,"Palau Sant Jordi, Barcelona (ESP) (i)",1995-03-12,high jump,24,M,1
2.32,Javier SOTOMAYOR,1967-10-13,CUB,Serravalle (SMR),1995-07-05,high jump,27,M,0
2.32,Lambros PAPAKOSTAS,1969-10-20,GRE,Patra (GRE),1995-07-23,high jump,25,M,0
2.32,Steinar HOEN,1971-02-08,NOR,"Stade Louis II, Monaco (MON)",1995-07-25,high jump,24,M,0
2.32,Wolf-Hendrik BEYER,1972-02-14,GER,Rhede (GER),1995-07-30,high jump,23,M,0
2.32,Tim FORSYTH,1973-08-17,AUS,Rhede (GER),1995-07-30,high jump,21,M,0
2.32,Patrik SJÖBERG,1965-01-05,SWE,"Ullevi Stadium, Göteborg (SWE)",1995-08-08,high jump,30,M,0
2.32,Artur PARTYKA,1969-07-25,POL,Warszawa (POL),1995-08-20,high jump,26,M,0
2.32,Jin-taek LEE,1972-04-13,KOR,Jakarta (INA),1995-09-22,high jump,23,M,0
2.32,Tim FORSYTH,1973-08-17,AUS,Perth (AUS),1996-01-28,high jump,22,M,0
2.32,Charles AUSTIN,1967-12-19,USA,"New York, NY (USA) (i)",1996-02-02,high jump,28,M,1
2.32,Steinar HOEN,1971-02-08,NOR,Stockholm (SWE) (i),1996-02-25,high jump,25,M,1
2.32,Aleksey MAKURIN,1972-07-21,RUS,Yekaterinburg (RUS),1996-06-01,high jump,23,M,0
2.32,Jin-taek LEE,1972-04-13,KOR,Paris (FRA),1996-06-28,high jump,24,M,0
2.32,Dragutin TOPIĆ,1971-03-12,YUG,Paris (FRA),1996-06-28,high jump,25,M,0
2.32,Dragutin TOPIĆ,1971-03-12,YUG,Nice (FRA),1996-07-10,high jump,25,M,0
2.32,Artur PARTYKA,1969-07-25,POL,Nice (FRA),1996-07-10,high jump,26,M,0
2.32,Dragutin TOPIĆ,1971-03-12,YUG,"Olympic Stadium, Atlanta, GA (USA)",1996-07-28,high jump,25,M,0
2.32,Steinar HOEN,1971-02-08,NOR,"Olympic Stadium, Atlanta, GA (USA)",1996-07-28,high jump,25,M,0
2.32,Lambros PAPAKOSTAS,1969-10-20,GRE,"Olympic Stadium, Atlanta, GA (USA)",1996-07-28,high jump,26,M,0
2.32,Tim FORSYTH,1973-08-17,AUS,"Olympic Stadium, Atlanta, GA (USA)",1996-07-28,high jump,22,M,0
2.32,Dragutin TOPIĆ,1971-03-12,YUG,Bajina Basta (SRB),1996-08-20,high jump,25,M,0
2.32,Dragutin TOPIĆ,1971-03-12,YUG,Beograd (SRB),1996-09-11,high jump,25,M,0
2.32,Steinar HOEN,1971-02-08,NOR,Genova (ITA) (i),1997-02-11,high jump,26,M,1
2.32,Charles AUSTIN,1967-12-19,USA,Spala (POL) (i),1997-02-14,high jump,29,M,1
2.32,Lambros PAPAKOSTAS,1969-10-20,GRE,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1997-03-09,high jump,27,M,1
2.32,Dragutin TOPIĆ,1971-03-12,YUG,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1997-03-09,high jump,25,M,1
2.32,Steinar HOEN,1971-02-08,NOR,Florø (NOR),1997-05-24,high jump,26,M,0
2.32,Artur PARTYKA,1969-07-25,POL,Bydgoszcz (POL),1997-06-22,high jump,27,M,0
2.32,Tim FORSYTH,1973-08-17,AUS,Tata (HUN),1997-07-22,high jump,23,M,0
2.32,Dalton GRANT,1966-04-08,GBR,"Olympic Stadium, Athina (GRE)",1997-08-06,high jump,31,M,0
2.32,Steinar HOEN,1971-02-08,NOR,"Olympic Stadium, Athina (GRE)",1997-08-06,high jump,26,M,0
2.32,Lambros PAPAKOSTAS,1969-10-20,GRE,"Olympic Stadium, Athina (GRE)",1997-08-06,high jump,27,M,0
2.32,Jin-taek LEE,1972-04-13,KOR,Catania (ITA),1997-08-28,high jump,25,M,0
2.32,Charles LEFRANCOIS,1972-12-19,CAN,Catania (ITA),1997-08-28,high jump,24,M,0
2.32,Javier SOTOMAYOR,1967-10-13,CUB,Salgótarján (HUN),1997-09-17,high jump,29,M,0
2.32,Charles AUSTIN,1967-12-19,USA,Salgótarján (HUN),1997-09-17,high jump,29,M,0
2.32,Tim FORSYTH,1973-08-17,AUS,Wuppertal (GER) (i),1998-02-06,high jump,24,M,1
2.32,Steinar HOEN,1971-02-08,NOR,Wuppertal (GER) (i),1998-02-06,high jump,26,M,1
2.32,Artur PARTYKA,1969-07-25,POL,Spala (POL) (i),1998-03-06,high jump,28,M,1
2.32,Charles AUSTIN,1967-12-19,USA,Spala (POL) (i),1998-03-06,high jump,30,M,1
2.32,Vyacheslav VORONIN,1974-04-05,RUS,Spala (POL) (i),1998-03-06,high jump,23,M,1
2.32,Tim FORSYTH,1973-08-17,AUS,Melbourne (AUS),1998-03-15,high jump,24,M,0
2.32,Dragutin TOPIĆ,1971-03-12,YUG,Athina (GRE),1998-06-17,high jump,27,M,0
2.32,Christian RHODEN,1974-03-27,GER,Düdelingen (LUX),1998-07-19,high jump,24,M,0
2.32,Dimitros KOKOTIS,1972-04-12,GRE,Athina (GRE),1998-07-19,high jump,26,M,0
2.32,Charles AUSTIN,1967-12-19,USA,Leverkusen (GER),1998-08-09,high jump,30,M,0
2.32,Javier SOTOMAYOR,1967-10-13,CUB,Zürich (SUI),1998-08-12,high jump,30,M,0
2.32,Charles AUSTIN,1967-12-19,USA,Zürich (SUI),1998-08-12,high jump,30,M,0
2.32,Sergey KLYUGIN,1974-03-24,RUS,"Népstadion, Budapest (HUN)",1998-08-21,high jump,24,M,0
2.32,Martin BUß,1976-04-07,GER,"Népstadion, Budapest (HUN)",1998-08-21,high jump,22,M,0
2.32,Javier SOTOMAYOR,1967-10-13,CUB,Stockholm (SWE) (i),1999-02-25,high jump,31,M,1
2.32,Charles AUSTIN,1967-12-19,USA,Nassau (BAH),1999-05-26,high jump,31,M,0
2.32,Henry PATTERSON,1975-05-27,USA,Nassau (BAH),1999-05-26,high jump,23,M,0
2.32,Vyacheslav VORONIN,1974-04-05,RUS,Krasnodar (RUS),1999-05-30,high jump,25,M,0
2.32,Dragutin TOPIĆ,1971-03-12,YUG,Athina (GRE),1999-06-16,high jump,28,M,0
2.32,Vyacheslav VORONIN,1974-04-05,RUS,"Stade Charléty, Paris (FRA)",1999-06-19,high jump,25,M,0
2.32,Tomáš JANKŮ,1974-12-27,CZE,Ostrava (CZE),1999-06-27,high jump,24,M,0
2.32,Martin BUß,1976-04-07,GER,"La Cartuja, Sevilla (ESP)",1999-08-23,high jump,23,M,0
2.32,Dragutin TOPIĆ,1971-03-12,YUG,"La Cartuja, Sevilla (ESP)",1999-08-23,high jump,28,M,0
2.32,Abderrahmane HAMMAD,1977-05-27,ALG,Rovereto (ITA),1999-09-01,high jump,22,M,0
2.32,Wolfgang KREIßIG,1970-08-29,GER,"Olympiastadion, Berlin (GER)",1999-09-07,high jump,29,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Olympiastadion, Berlin (GER)",1999-09-07,high jump,23,M,0
2.32,Vyacheslav VORONIN,1974-04-05,RUS,Salgótarján (HUN),1999-09-12,high jump,25,M,0
2.32,Artur PARTYKA,1969-07-25,POL,Arnstadt (GER) (i),2000-01-28,high jump,30,M,1
2.32,Mark BOSWELL,1977-07-28,CAN,Air Force Academy (USA) (i),2000-01-29,high jump,22,M,1
2.32,Matt HEMINGWAY,1972-10-24,USA,Air Force Academy (USA) (i),2000-01-29,high jump,27,M,1
2.32,Martin BUß,1976-04-07,GER,Wuppertal (GER) (i),2000-02-04,high jump,23,M,1
2.32,Anthony IDIATA,1975-01-05,NGR,Patra (GRE) (i),2000-02-15,high jump,25,M,1
2.32,Dragutin TOPIĆ,1971-03-12,YUG,Patra (GRE) (i),2000-02-15,high jump,28,M,1
2.32,Vyacheslav VORONIN,1974-04-05,RUS,Stockholm (SWE) (i),2000-02-17,high jump,25,M,1
2.32,Staffan STRAND,1976-04-18,SWE,Stockholm (SWE) (i),2000-02-17,high jump,23,M,1
2.32,Shane LAVY,1976-02-15,USA,"Los Angeles, CA (USA) (i)",2000-02-19,high jump,24,M,1
2.32,Stefan HOLM,1976-05-25,SWE,"Topsporthal Vlaanderen, Gent (BEL) (i)",2000-02-27,high jump,23,M,1
2.32,Dragutin TOPIĆ,1971-03-12,YUG,St. Antonio (POR),2000-05-27,high jump,29,M,0
2.32,Mark BOSWELL,1977-07-28,CAN,Birmingham (GBR) (i),2000-06-24,high jump,22,M,1
2.32,Staffan STRAND,1976-04-18,SWE,Nice (FRA),2000-07-08,high jump,24,M,0
2.32,Charles AUSTIN,1967-12-19,USA,Nice (FRA),2000-07-08,high jump,32,M,0
2.32,Kwaku BOATENG,1974-06-30,CAN,Nice (FRA),2000-07-08,high jump,26,M,0
2.32,Charles AUSTIN,1967-12-19,USA,"Sacramento, CA (USA)",2000-07-23,high jump,32,M,0
2.32,Konstantin MATUSEVICH,1971-02-25,ISR,Tel Aviv (ISR),2000-07-24,high jump,29,M,0
2.32,Vyacheslav VORONIN,1974-04-05,RUS,Stockholm (SWE),2000-08-01,high jump,26,M,0
2.32,Charles AUSTIN,1967-12-19,USA,Zürich (SUI),2000-08-11,high jump,32,M,0
2.32,Mark BOSWELL,1977-07-28,CAN,Thessaloniki (GRE),2000-08-30,high jump,23,M,0
2.32,Mark BOSWELL,1977-07-28,CAN,"Olympiastadion, Berlin (GER)",2000-09-01,high jump,23,M,0
2.32,Javier SOTOMAYOR,1967-10-13,CUB,"Olympic Stadium, Sydney (AUS)",2000-09-24,high jump,32,M,0
2.32,Abderrahmane HAMMAD,1977-05-27,ALG,"Olympic Stadium, Sydney (AUS)",2000-09-24,high jump,23,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Olympic Stadium, Sydney (AUS)",2000-09-24,high jump,24,M,0
2.32,Konstantin MATUSEVICH,1971-02-25,ISR,"Olympic Stadium, Sydney (AUS)",2000-09-24,high jump,29,M,0
2.32,Mark BOSWELL,1977-07-28,CAN,"Olympic Stadium, Sydney (AUS)",2000-09-24,high jump,23,M,0
2.32,Staffan STRAND,1976-04-18,SWE,"Olympic Stadium, Sydney (AUS)",2000-09-24,high jump,24,M,0
2.32,Vyacheslav VORONIN,1974-04-05,RUS,"Suhaim bin Hamad Stadium, Doha (QAT)",2000-10-05,high jump,26,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Atlantic Pavillion, Lisboa (POR) (i)",2001-03-11,high jump,24,M,1
2.32,Andriy SOKOLOVSKIY,1978-07-16,UKR,Kalamata (GRE),2001-06-02,high jump,22,M,0
2.32,Charles CLINGER,1976-12-28,USA,Västerås (SWE),2001-07-03,high jump,24,M,0
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,Lapinlahti (FIN),2001-07-22,high jump,20,M,0
2.32,Jacques FREITAG,1982-06-11,RSA,Germiston (RSA),2002-01-25,high jump,19,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Łódź (POL) (i),2002-02-02,high jump,25,M,1
2.32,Mark BOSWELL,1977-07-28,CAN,Łódź (POL) (i),2002-02-02,high jump,24,M,1
2.32,Mark BOSWELL,1977-07-28,CAN,Brno (CZE) (i),2002-02-06,high jump,24,M,1
2.32,Pavel FOMENKO,1976-06-29,RUS,Volgograd (RUS) (i),2002-02-14,high jump,25,M,1
2.32,Staffan STRAND,1976-04-18,SWE,Pireaus (GRE) (i),2002-02-20,high jump,25,M,1
2.32,Nathan LEEPER,1977-06-13,USA,"New York, NY (USA) (i)",2002-03-02,high jump,24,M,1
2.32,Matt HEMINGWAY,1972-10-24,USA,"Portland, OR (USA)",2002-05-18,high jump,29,M,0
2.32,Mark BOSWELL,1977-07-28,CAN,"Portland, OR (USA)",2002-05-18,high jump,24,M,0
2.32,Nathan LEEPER,1977-06-13,USA,"Palo Alto, CA (USA)",2002-06-23,high jump,25,M,0
2.32,Andrey CHUBSA,1982-11-29,BLR,Stockholm (SWE),2002-07-16,high jump,19,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Gävle (SWE),2002-08-18,high jump,26,M,0
2.32,Jaroslav BÁBA,1984-09-02,CZE,Arnstadt (GER) (i),2003-02-08,high jump,18,M,1
2.32,Stefan HOLM,1976-05-25,SWE,Sätra (SWE) (i),2003-03-02,high jump,26,M,1
2.32,Staffan STRAND,1976-04-18,SWE,Sätra (SWE) (i),2003-03-02,high jump,26,M,1
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,Tallinn (EST) (i),2003-03-05,high jump,22,M,1
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,Lille (FRA),2003-06-15,high jump,22,M,0
2.32,Andriy SOKOLOVSKIY,1978-07-16,UKR,Bastad (SWE),2003-06-29,high jump,24,M,0
2.32,Aleksander WALERIAŃCZYK,1982-09-01,POL,Bielsko-Biala (POL),2003-07-06,high jump,20,M,0
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,Rethymno (GRE),2003-07-06,high jump,22,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Kil (SWE),2003-07-19,high jump,27,M,0
2.32,Germaine MASON,1983-01-20,JAM,Stockholm (SWE),2003-08-05,high jump,20,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Malmö (SWE),2003-08-12,high jump,27,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Stade de France, Paris-St-Denis (FRA)",2003-08-25,high jump,27,M,0
2.32,Mark BOSWELL,1977-07-28,CAN,"Stade de France, Paris-St-Denis (FRA)",2003-08-25,high jump,26,M,0
2.32,Jaroslav BÁBA,1984-09-02,CZE,Třinec (CZE) (i),2004-02-04,high jump,19,M,1
2.32,Jaroslav BÁBA,1984-09-02,CZE,Weinheim (GER) (i),2004-02-11,high jump,19,M,1
2.32,Jamie NIETO,1976-11-02,USA,Weinheim (GER) (i),2004-02-11,high jump,27,M,1
2.32,Andriy SOKOLOVSKIY,1978-07-16,UKR,Banská Bystrica (SVK) (i),2004-02-17,high jump,25,M,1
2.32,Jaroslav BÁBA,1984-09-02,CZE,Banská Bystrica (SVK) (i),2004-02-17,high jump,19,M,1
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,"Sportaréna, Budapest (HUN) (i)",2004-03-06,high jump,23,M,1
2.32,Grzegorz SPOSÓB,1976-02-12,POL,Biala Podlaska (POL),2004-05-29,high jump,28,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Bratislava (SVK),2004-06-10,high jump,28,M,0
2.32,Andra MANSON,1984-04-30,USA,"Austin, TX (USA)",2004-06-12,high jump,20,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2004-06-19,high jump,28,M,0
2.32,Grzegorz SPOSÓB,1976-02-12,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2004-06-19,high jump,28,M,0
2.32,Vyacheslav VORONIN,1974-04-05,RUS,Moskva (RUS),2004-08-07,high jump,30,M,0
2.32,Andriy SOKOLOVSKIY,1978-07-16,UKR,"Olympic Stadium, Athina (GRE)",2004-08-22,high jump,26,M,0
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,"Olympic Stadium, Athina (GRE)",2004-08-22,high jump,23,M,0
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,Moskva (RUS) (i),2005-01-20,high jump,24,M,1
2.32,Stefan HOLM,1976-05-25,SWE,Glasgow (GBR) (i),2005-01-29,high jump,28,M,1
2.32,Alessandro TALOTTI,1980-10-07,ITA,Glasgow (GBR) (i),2005-01-29,high jump,24,M,1
2.32,Stefan HOLM,1976-05-25,SWE,Malmö (SWE) (i),2005-02-27,high jump,28,M,1
2.32,Pavel FOMENKO,1976-06-29,RUS,"Palacio de Deportes, Madrid (ESP) (i)",2005-03-06,high jump,28,M,1
2.32,Jacques FREITAG,1982-06-11,RSA,Stellenbosch (RSA),2005-03-11,high jump,22,M,0
2.32,Jaroslav BÁBA,1984-09-02,CZE,"Olympic Stadium, Athina (GRE)",2005-06-14,high jump,20,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Olympic Stadium, Athina (GRE)",2005-06-14,high jump,29,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Stade de France, Paris-St-Denis (FRA)",2005-07-01,high jump,29,M,0
2.32,Vyacheslav VORONIN,1974-04-05,RUS,Tula (RUS),2005-07-13,high jump,31,M,0
2.32,Andrey TERESHIN,1982-12-15,RUS,Tula (RUS),2005-07-13,high jump,22,M,0
2.32,Yuriy KRYMARENKO,1983-08-11,UKR,"Olympiastadion, Helsinki (FIN)",2005-08-14,high jump,22,M,0
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,"Olympiastadion, Berlin (GER)",2005-09-04,high jump,24,M,0
2.32,Vyacheslav VORONIN,1974-04-05,RUS,"Stade Louis II, Monaco (MON)",2005-09-10,high jump,31,M,0
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,"Stade Louis II, Monaco (MON)",2005-09-10,high jump,24,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Stade Louis II, Monaco (MON)",2005-09-10,high jump,29,M,0
2.32,Ivan UKHOV,1986-03-29,RUS,Chelyabinsk (RUS) (i),2006-01-09,high jump,19,M,1
2.32,Andrey SILNOV,1984-09-09,RUS,Moskva (RUS) (i),2006-02-17,high jump,21,M,1
2.32,Ivan UKHOV,1986-03-29,RUS,Moskva (RUS) (i),2006-02-17,high jump,19,M,1
2.32,Svatoslav TON,1978-10-20,CZE,"FBK Stadium, Hengelo (NED)",2006-05-28,high jump,27,M,0
2.32,Jesse WILLIAMS,1983-12-27,USA,"Sacramento, CA (USA)",2006-06-09,high jump,22,M,0
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,Warszawa (POL),2006-06-18,high jump,25,M,0
2.32,Andrey SILNOV,1984-09-09,RUS,Warszawa (POL),2006-06-18,high jump,21,M,0
2.32,Ivan UKHOV,1986-03-29,RUS,Tula (RUS),2006-07-16,high jump,20,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Göteborg (SWE),2006-07-20,high jump,30,M,0
2.32,Ivan UKHOV,1986-03-29,RUS,Stockholm (SWE),2006-07-25,high jump,20,M,0
2.32,Andrey SILNOV,1984-09-09,RUS,Stockholm (SWE),2006-07-25,high jump,21,M,0
2.32,Haiqiang HUANG,1988-02-08,CHN,"Chaoyang Sport Center, Beijing (CHN)",2006-08-17,high jump,18,M,0
2.32,Andrey SILNOV,1984-09-09,RUS,Birmingham (GBR),2006-08-19,high jump,21,M,0
2.32,Michał BIENIEK,1984-05-17,POL,Opole (POL),2006-09-23,high jump,22,M,0
2.32,Tomáš JANKŮ,1974-12-27,CZE,Ostrava (CZE) (i),2007-01-23,high jump,32,M,1
2.32,Stefan HOLM,1976-05-25,SWE,Göteborg (SWE) (i),2007-01-31,high jump,30,M,1
2.32,Linus THÖRNBLAD,1985-03-06,SWE,Göteborg (SWE) (i),2007-01-31,high jump,21,M,1
2.32,Ivan UKHOV,1986-03-29,RUS,Volgograd (RUS) (i),2007-02-11,high jump,20,M,1
2.32,Vyacheslav VORONIN,1974-04-05,RUS,Yekaterinburg (RUS) (i),2007-02-18,high jump,32,M,1
2.32,Linus THÖRNBLAD,1985-03-06,SWE,"National Indoor Arena, Birmingham (GBR) (i)",2007-03-04,high jump,21,M,1
2.32,Kyriakos IOANNOU,1984-07-26,CYP,Beograd (SRB),2007-05-29,high jump,22,M,0
2.32,Scott SELLERS,1986-08-16,USA,"Sacramento, CA (USA)",2007-06-08,high jump,20,M,0
2.32,Jesse WILLIAMS,1983-12-27,USA,"Olympic Stadium, Athina (GRE)",2007-07-02,high jump,23,M,0
2.32,Víctor MOYA,1982-10-24,CUB,Rio de Janeiro (BRA),2007-07-27,high jump,24,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"Crystal Palace, London (GBR)",2007-08-03,high jump,31,M,0
2.32,Dmytro DEMYANYUK,1983-06-30,UKR,Kyiv (UKR),2007-08-03,high jump,24,M,0
2.32,Donald THOMAS,1984-07-01,BAH,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2007-09-23,high jump,23,M,0
2.32,Jesse WILLIAMS,1983-12-27,USA,Banská Bystrica (SVK) (i),2008-02-05,high jump,24,M,1
2.32,Kyriakos IOANNOU,1984-07-26,CYP,Novi Sad (SRB) (i),2008-02-07,high jump,23,M,1
2.32,Andrey SILNOV,1984-09-09,RUS,Yekaterinburg (RUS) (i),2008-02-17,high jump,23,M,1
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,Moskva (RUS),2008-06-10,high jump,27,M,0
2.32,Mickaël HANANY,1983-03-25,FRA,"Des Moines, IA (USA)",2008-06-13,high jump,25,M,0
2.32,Andrey SILNOV,1984-09-09,RUS,"Parc des Sports, Annecy (FRA)",2008-06-21,high jump,23,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Thessaloniki (GRE),2008-07-09,high jump,32,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Västerås (SWE),2008-08-02,high jump,32,M,0
2.32,Stefan HOLM,1976-05-25,SWE,"National Stadium, Beijing (CHN)",2008-08-19,high jump,32,M,0
2.32,Raul SPANK,1988-07-13,GER,"National Stadium, Beijing (CHN)",2008-08-19,high jump,20,M,0
2.32,Germaine MASON,1983-01-20,GBR,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02,high jump,25,M,0
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02,high jump,27,M,0
2.32,Jessé Farias DE LIMA,1981-02-16,BRA,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02,high jump,27,M,0
2.32,Stefan HOLM,1976-05-25,SWE,Dubnica nad Váhom (SVK),2008-09-07,high jump,32,M,0
2.32,Jesse WILLIAMS,1983-12-27,USA,Malmö (SWE) (i),2009-02-03,high jump,25,M,1
2.32,Tora HARRIS,1978-09-21,USA,Bydgoszcz (POL) (i),2009-02-10,high jump,30,M,1
2.32,Andra MANSON,1984-04-30,USA,"Boston, MA (USA) (i)",2009-02-28,high jump,24,M,1
2.32,Ivan UKHOV,1986-03-29,RUS,"Oval Lingotto, Torino (ITA) (i)",2009-03-07,high jump,22,M,1
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,"Olympiastadion, Berlin (GER)",2009-08-21,high jump,28,M,0
2.32,Kyriakos IOANNOU,1984-07-26,CYP,"Olympiastadion, Berlin (GER)",2009-08-21,high jump,25,M,0
2.32,Raul SPANK,1988-07-13,GER,"Olympiastadion, Berlin (GER)",2009-08-21,high jump,21,M,0
2.32,Sylwester BEDNAREK,1989-04-28,POL,"Olympiastadion, Berlin (GER)",2009-08-21,high jump,20,M,0
2.32,Jaroslav BÁBA,1984-09-02,CZE,Thessaloniki (GRE),2009-09-12,high jump,25,M,0
2.32,Osku TORRO,1979-08-21,FIN,Wuppertal (GER) (i),2010-01-22,high jump,30,M,1
2.32,Dusty JONAS,1986-04-19,USA,Třinec (CZE) (i),2010-01-26,high jump,23,M,1
2.32,Yaroslav RYBAKOV,1980-11-22,RUS,Mogilyov (BLR) (i),2010-01-30,high jump,29,M,1
2.32,Ivan UKHOV,1986-03-29,RUS,Moskva (RUS) (i),2010-02-07,high jump,23,M,1
2.32,Aleksandr SHUSTOV,1984-06-29,RUS,Moskva (RUS) (i),2010-02-07,high jump,25,M,1
2.32,Andra MANSON,1984-04-30,USA,Bydgoszcz (POL) (i),2010-02-10,high jump,25,M,1
2.32,Aleksey DMITRIK,1984-04-12,RUS,Weinheim (GER) (i),2010-03-05,high jump,25,M,1
2.32,Aleksandr SHUSTOV,1984-06-29,RUS,Saransk (RUS),2010-07-14,high jump,26,M,0
2.32,Donald THOMAS,1984-07-01,BAH,New Delhi (IND),2010-10-09,high jump,26,M,0
2.32,Aleksandr SHUSTOV,1984-06-29,RUS,Yekaterinburg (RUS) (i),2011-01-07,high jump,26,M,1
2.32,Aleksey DMITRIK,1984-04-12,RUS,Hustopeče (CZE) (i),2011-01-29,high jump,26,M,1
2.32,Dmytro DEMYANYUK,1983-06-30,UKR,Banská Bystrica (SVK) (i),2011-02-09,high jump,27,M,1
2.32,Donald THOMAS,1984-07-01,BAH,Bydgoszcz (POL) (i),2011-02-16,high jump,26,M,1
2.32,Konstantinos BANIOTIS,1986-11-06,GRE,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",2011-03-05,high jump,24,M,1
2.32,Ivan UKHOV,1986-03-29,RUS,"Mestský Stadion, Ostrava (CZE)",2011-05-31,high jump,25,M,0
2.32,Raul SPANK,1988-07-13,GER,"Mestský Stadion, Ostrava (CZE)",2011-05-31,high jump,22,M,0
2.32,Raul SPANK,1988-07-13,GER,"Hayward Field, Eugene, OR (USA)",2011-06-04,high jump,22,M,0
2.32,Andrey SILNOV,1984-09-09,RUS,"Hayward Field, Eugene, OR (USA)",2011-06-04,high jump,26,M,0
2.32,Jesse WILLIAMS,1983-12-27,USA,"Hayward Field, Eugene, OR (USA)",2011-06-04,high jump,27,M,0
2.32,Dimitrios CHONDROKOUKIS,1988-01-26,GRE,Izmir (TUR),2011-06-18,high jump,23,M,0
2.32,Mutaz Essa BARSHIM,1991-06-24,QAT,Ystad (SWE),2011-06-19,high jump,19,M,0
2.32,Donald THOMAS,1984-07-01,BAH,Freeport (BAH),2011-06-25,high jump,26,M,0
2.32,Andrey SILNOV,1984-09-09,RUS,"Meteor, Zhukovskiy (RUS)",2011-07-03,high jump,26,M,0
2.32,Jaroslav BÁBA,1984-09-02,CZE,"Stade de France, Paris-St-Denis (FRA)",2011-07-08,high jump,26,M,0
2.32,Aleksey DMITRIK,1984-04-12,RUS,"Stade de France, Paris-St-Denis (FRA)",2011-07-08,high jump,27,M,0
2.32,Jesse WILLIAMS,1983-12-27,USA,"Olympiastadion, Stockholm (SWE)",2011-07-29,high jump,27,M,0
2.32,Trevor BARRY,1983-06-14,BAH,"DS, Daegu (KOR)",2011-09-01,high jump,28,M,0
2.32,Jaroslav BÁBA,1984-09-02,CZE,"DS, Daegu (KOR)",2011-09-01,high jump,26,M,0
2.32,Dimitrios CHONDROKOUKIS,1988-01-26,GRE,"DS, Daegu (KOR)",2011-09-01,high jump,23,M,0
2.32,Ivan UKHOV,1986-03-29,RUS,"DS, Daegu (KOR)",2011-09-01,high jump,25,M,0
2.32,Mutaz Essa BARSHIM,1991-06-24,QAT,"DS, Daegu (KOR)",2011-09-01,high jump,20,M,0
2.32,Dimitrios CHONDROKOUKIS,1988-01-26,GRE,"Letzigrund, Zürich (SUI)",2011-09-08,high jump,23,M,0
2.32,Donald THOMAS,1984-07-01,BAH,Guadalajara (MEX),2011-10-27,high jump,27,M,0
2.32,Aleksey DMITRIK,1984-04-12,RUS,Wuppertal (GER) (i),2012-01-21,high jump,27,M,1
2.32,Ivan UKHOV,1986-03-29,RUS,Třinec (CZE) (i),2012-01-30,high jump,25,M,1
2.32,Jesse WILLIAMS,1983-12-27,USA,"New York, NY (USA) (i)",2012-02-11,high jump,28,M,1
2.32,Robbie GRABARZ,1987-10-03,GBR,"National Indoor Arena, Birmingham (GBR) (i)",2012-02-18,high jump,24,M,1
2.32,Raul SPANK,1988-07-13,GER,Karlsruhe (GER) (i),2012-02-26,high jump,23,M,1
2.32,Ricky ROBERTSON,1990-09-19,USA,"Gainesville, FL (USA)",2012-04-07,high jump,21,M,0
