Rank,Mark,WIND,Competitor,DOB,Unnamed: 5,Pos,Unnamed: 7,Venue,Date,Results Score,Age_category,Event
912,6.96,+1.0,Naide GOMES,20 NOV 1979,POR,1q2,,"Yanmar Stadium Nagai, Osaka (JPN)",27 AUG 2007,1209,senior,long jump
912,6.96,,Irina MELESHINA,25 MAY 1982,RUS,1,,Stockholm (SWE) (i),21 FEB 2008,1209,senior,long jump
912,6.96,+1.6,Funmi JIMOH,29 MAY 1984,USA,2,,Doha (QAT),08 MAY 2009,1209,senior,long jump
912,6.96,+1.2,Lyudmila KOLCHANOVA,01 OCT 1979,RUS,2,,"Meteor, Zhukovskiy (RUS)",26 JUN 2010,1209,senior,long jump
912,6.96,+1.7,Blessing OKAGBARE,09 OCT 1988,NGR,1,,Porto Novo (BEN),29 JUN 2012,1209,senior,long jump
912,6.96,+1.0,Brittney REESE,09 SEP 1986,USA,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2013,1209,senior,long jump
912,6.96,+5.8,Lorraine UGEN,22 AUG 1991,GBR,1f1,,"Austin, TX (USA)",28 MAR 2015,1175,senior,long jump
912,6.96,+1.1,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,,,"Sports Park Mladost, Zagreb (CRO)",06 SEP 2016,1209,senior,long jump
912,6.96,,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1,,Beograd (SRB) (i),25 FEB 2017,1209,senior,long jump
912,6.96,+0.1,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,4,,"Olympic Stadium, London (GBR)",11 AUG 2017,1209,senior,long jump
912,6.96,,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1,,"Arena Birmingham, Birmingham (GBR) (i)",04 MAR 2018,1209,senior,long jump
912,6.96,+1.5,Malaika MIHAMBO,03 FEB 1994,GER,1,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1209,senior,long jump
912,6.96,-2.1,Ese BRUME,20 JAN 1996,NGR,1,,Erzurum (TUR),24 JUL 2019,1221,senior,long jump
912,6.96,,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,1,,"Arena, Toruń (POL) (i)",08 FEB 2020,1209,senior,long jump
912,6.96,+2.0,Tyra GITTENS,06 JUN 1998,TTO,1ce,,"Cushing Stadium, College Station, TX (USA)",14 MAY 2021,1209,senior,long jump
912,6.96,+1.6,Quanesha BURKS,15 MAR 1995,USA,3,,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1209,senior,long jump
912,6.96,+0.2,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1,,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1209,senior,long jump
912,6.96,,Malaika MIHAMBO,03 FEB 1994,GER,1,,"ISS Dome, Düsseldorf (GER) (i)",20 FEB 2022,1209,senior,long jump
912,6.96,+2.2,Evelise VEIGA,03 MAR 1996,POR,1,,"Estadio Universitario, Lisboa (POR)",10 JUN 2022,1196,senior,long jump
912,6.96,+1.7,Alina ROTARU-KOTTMANN,05 JUN 1993,ROU,1,,"Sportanlage, Inneringen (GER)",30 JUL 2023,1209,senior,long jump
912,6.96,+0.2,Jasmine MOORE,01 MAY 2001,USA,3,,"Stade de France, Paris (FRA)",08 AUG 2024,1209,senior,long jump
912,6.96,,Claire BRYANT,25 AUG 2001,USA,1,,"Sports Training Center, Nanjing (CHN) (i)",23 MAR 2025,1209,senior,long jump
977,6.95,+0.4,Anna WŁODARCZYK,24 MAR 1951,POL,4,,"Lenin Stadium, Moskva (URS)",31 JUL 1980,1207,senior,long jump
977,6.95,-2.1,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Praha (TCH),09 JUN 1984,1219,senior,long jump
977,6.95,+0.2,Irina VALYUKEVICH,19 NOV 1959,URS,2,,Donetsk (URS),09 SEP 1984,1207,senior,long jump
977,6.95,0.0,Heike DRECHSLER,16 DEC 1964,GDR,1,,Tokyo (JPN),14 SEP 1984,1207,senior,long jump
977,6.95,,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Sofia (BUL) (i),09 FEB 1985,1207,senior,long jump
977,6.95,,Helga RADTKE,16 MAY 1962,GDR,1,,Wien (AUT),17 AUG 1985,1207,senior,long jump
977,6.95,0.0,Carol LEWIS,08 AUG 1963,USA,3,,Tokyo (JPN),21 SEP 1985,1207,senior,long jump
977,6.95,+1.6,Larisa BEREZHNAYA,28 FEB 1961,URS,1,,Sochi (URS),24 MAY 1986,1207,senior,long jump
977,6.95,+0.4,Irina VALYUKEVICH,19 NOV 1959,URS,3,,Leningrad (URS),08 JUN 1986,1207,senior,long jump
977,6.95,+0.5,Nijolé MEDVEDEVA,20 OCT 1960,URS,2,,Kiev (URS),15 JUL 1986,1207,senior,long jump
977,6.95,-0.4,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Tashkent (UZB),20 SEP 1986,1209,senior,long jump
977,6.95,+1.9,Eva MURKOVÁ,29 MAY 1962,TCH,1,,Bratislava (TCH),13 JUN 1987,1207,senior,long jump
977,6.95,-0.9,Yelena KHLOPOTNOVA,04 AUG 1963,URS,3,,Bryansk (URS),18 JUL 1987,1212,senior,long jump
977,6.95,+0.7,Heike DRECHSLER,16 DEC 1964,GDR,1q1,,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1207,senior,long jump
977,6.95,,Marieta ILCU,16 OCT 1962,ROU,1,,Bucureşti (ROU),27 AUG 1988,1207,senior,long jump
977,6.95,,Marieta ILCU,16 OCT 1962,ROU,1,,Bacãu (ROU) (i),25 FEB 1989,1207,senior,long jump
977,6.95,+1.1,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Bratislava (TCH),14 JUN 1989,1207,senior,long jump
977,6.95,+1.0,Helga RADTKE,16 MAY 1962,GDR,1,,Edinburgh (GBR),07 JUL 1989,1207,senior,long jump
977,6.95,+0.4,Larisa BEREZHNAYA,28 FEB 1961,URS,1,,Gorkiy (URS),22 JUL 1989,1207,senior,long jump
977,6.95,,Larisa BEREZHNAYA,28 FEB 1961,URS,3,,Chelyabinsk (URS) (i),03 FEB 1990,1207,senior,long jump
977,6.95,+0.3,Inessa KRAVETS,05 OCT 1966,URS,2,,Granada (ESP),25 MAY 1991,1207,senior,long jump
977,6.95,+1.2,Inessa KRAVETS,05 OCT 1966,URS,3,,Sevilla (ESP),30 MAY 1991,1207,senior,long jump
977,6.95,+0.6,Ludmila NINOVA,25 JUN 1960,AUT,4,,Sevilla (ESP),30 MAY 1991,1207,senior,long jump
977,6.95,+1.1,Olena KHLOPOTNOVA,04 AUG 1963,UKR,1,,Kyiv (UKR),30 MAY 1992,1207,senior,long jump
977,6.95,,Heike DRECHSLER,16 DEC 1964,GER,1,,Rosenheim (GER),12 SEP 1992,1207,senior,long jump
977,6.95,,Heike DRECHSLER,16 DEC 1964,GER,1,,San Sebastián (ESP) (i),02 MAR 1993,1207,senior,long jump
977,6.95,+2.5,Heike DRECHSLER,16 DEC 1964,GER,1,,Waldshut-Tiengen (GER),14 MAY 1994,1192,senior,long jump
977,6.95,+3.0,Iva PRANDZHEVA,15 FEB 1972,BUL,1,,Sofia (BUL),15 MAY 1994,1189,senior,long jump
977,6.95,+1.0,Fiona MAY,12 DEC 1969,ITA,,,Sestriere (ITA),31 JUL 1994,1207,senior,long jump
977,6.95,-0.4,Jackie JOYNER-KERSEE,03 MAR 1962,USA,3,,Zürich (SUI),17 AUG 1994,1209,senior,long jump
977,6.95,+1.0,Heike DRECHSLER,16 DEC 1964,GER,ce,,Talence (FRA),11 SEP 1994,1207,senior,long jump
977,6.95,,Lyudmila GALKINA,20 JAN 1972,RUS,1,,"Palau Sant Jordi, Barcelona (ESP) (i)",12 MAR 1995,1207,senior,long jump
977,6.95,0.0,Olena SHEKHOVTSOVA,31 MAY 1972,UKR,1,,Kyiv (UKR),07 JUN 1996,1207,senior,long jump
977,6.95,+4.4,Chioma AJUNWA,25 DEC 1971,NGR,2,,Rieti (ITA),01 SEP 1996,1181,senior,long jump
977,6.95,,Heike DRECHSLER,16 DEC 1964,GER,1,,Stuttgart (GER) (i),02 FEB 1997,1207,senior,long jump
977,6.95,+1.9,Agata KARCZMAREK,29 NOV 1963,POL,1,,Bydgoszcz (POL),21 JUN 1997,1207,senior,long jump
977,6.95,+1.9,Heike DRECHSLER,16 DEC 1964,GER,2,,Athina (GRE),17 JUN 1998,1207,senior,long jump
977,6.95,0.0,Lyudmila GALKINA,20 JAN 1972,RUS,1,,Moskva (RUS),05 JUN 1999,1207,senior,long jump
977,6.95,+0.7,Fiona MAY,12 DEC 1969,ITA,1,,Nürnberg (GER),13 JUN 1999,1207,senior,long jump
977,6.95,+3.2,Erica JOHANSSON,05 FEB 1974,SWE,1,,Göteborg (SWE),04 SEP 1999,1188,senior,long jump
977,6.95,0.0,Yingnan GUAN,25 APR 1977,CHN,1,,Tianjin (CHN),03 MAY 2000,1207,senior,long jump
977,6.95,+0.2,Tatyana KOTOVA,11 DEC 1976,RUS,1,,Athina (GRE),31 MAY 2000,1207,senior,long jump
977,6.95,+5.1,Niurka MONTALVO,04 JUN 1968,ESP,1,,Tenerife (ESP),15 JUL 2000,1177,senior,long jump
977,6.95,-0.3,Fiona MAY,12 DEC 1969,ITA,2,,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1208,senior,long jump
977,6.95,+0.4,Heike DRECHSLER,16 DEC 1964,GER,2,,"Olympiastadion, Berlin (GER)",01 SEP 2000,1207,senior,long jump
977,6.95,,Tatyana KOTOVA,11 DEC 1976,RUS,1,,Kalamata (GRE),02 JUN 2001,1207,senior,long jump
977,6.95,+2.9,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,Sâo Caetano do Sul (BRA),23 MAR 2002,1190,senior,long jump
977,6.95,+0.8,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,Chania (GRE),09 JUN 2003,1207,senior,long jump
977,6.95,,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,,Moskva (RUS) (i),19 FEB 2004,1207,senior,long jump
977,6.95,,Irina MELESHINA,25 MAY 1982,RUS,2,,Moskva (RUS) (i),19 FEB 2004,1207,senior,long jump
977,6.95,+0.3,Tatyana LEBEDEVA,21 JUL 1976,RUS,1q2,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1207,senior,long jump
977,6.95,+0.7,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,,"International Stadium, Gateshead (GBR)",11 JUN 2006,1207,senior,long jump
977,6.95,+1.6,Bronwyn THOMPSON,29 JAN 1978,AUS,2,,Rethymno (GRE),21 JUL 2006,1207,senior,long jump
977,6.95,+0.6,Maurren Higa MAGGI,25 JUN 1976,BRA,2q1,,"Yanmar Stadium Nagai, Osaka (JPN)",27 AUG 2007,1207,senior,long jump
977,6.95,+1.4,Brittney REESE,09 SEP 1986,USA,1,,"Eugene, OR (USA)",03 JUL 2008,1207,senior,long jump
977,6.95,+1.5,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,Madrid (ESP),05 JUL 2008,1207,senior,long jump
977,6.95,+3.6,Hyleas FOUNTAIN,14 JAN 1981,USA,1ce2,,"Eugene, OR (USA)",28 JUN 2009,1186,senior,long jump
977,6.95,+2.2,Brittney REESE,09 SEP 1986,USA,1,,Luzern (SUI),08 AUG 2010,1194,senior,long jump
977,6.95,+0.2,Veronika SHUTKOVA,26 MAY 1986,BLR,1,,Brest (BLR),21 MAY 2011,1207,senior,long jump
977,6.95,+7.5,Oksana AYDAMIROVA,24 SEP 1984,RUS,2,,Yerino (RUS),05 JUN 2011,1162,senior,long jump
977,6.95,+2.9,Yelena SOKOLOVA,23 JUL 1986,RUS,1,,Vila Real de Santo António (POR),27 MAY 2012,1190,senior,long jump
977,6.95,+1.9,Viktoriya RYBALKO,26 OCT 1982,UKR,1,,Yalta (UKR),13 JUN 2012,1207,senior,long jump
977,6.95,+0.1,Shara PROCTOR,16 SEP 1988,GBR,1,,Birmingham (GBR),24 JUN 2012,1207,senior,long jump
977,6.95,,Tori BOWIE,27 AUG 1990,USA,1,,"Naperville, IL (USA) (i)",25 JAN 2014,1207,senior,long jump
977,6.95,+0.7,Shara PROCTOR,16 SEP 1988,GBR,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1207,senior,long jump
977,6.95,+1.6,Darya KLISHINA,15 JAN 1991,RUS,1,,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2015,1207,senior,long jump
977,6.95,+1.1,Janay DELOACH,12 OCT 1985,USA,3,,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1207,senior,long jump
977,6.95,+0.9,Christabel NETTEY,02 JUN 1991,CAN,4,,"National Stadium, Beijing (CHN)",28 AUG 2015,1207,senior,long jump
977,6.95,,Alexandra WESTER,21 MAR 1994,GER,1,,Berlin (GER) (i),13 FEB 2016,1207,senior,long jump
977,6.95,+0.7,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1,,"Shanghai Stadium, Shanghai (CHN)",14 MAY 2016,1207,senior,long jump
977,6.95,+0.6,Malaika MIHAMBO,03 FEB 1994,GER,4,,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1207,senior,long jump
977,6.95,-0.2,Brittney REESE,09 SEP 1986,USA,1,,"Letzigrund, Zürich (SUI)",01 SEP 2016,1208,senior,long jump
977,6.95,+0.7,Brittney REESE,09 SEP 1986,USA,1,,"Long Beach, CA (USA)",29 JUN 2019,1207,senior,long jump
977,6.95,+2.9,Tyra GITTENS,06 JUN 1998,TTO,1q1,,"Cushing Stadium, College Station, TX (USA)",27 MAY 2021,1190,senior,long jump
977,6.95,+1.0,Khaddi SAGNIA,20 APR 1994,SWE,1,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1207,senior,long jump
977,6.95,+0.5,Brooke BUSCHKUEHL,12 JUL 1993,AUS,2,,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022,1207,senior,long jump
977,6.95,+2.7,Quanesha BURKS,15 MAR 1995,USA,2,,"Percy Beard Track, Gainesville, FL (USA)",14 APR 2023,1191,senior,long jump
977,6.95,+1.6,Quanesha BURKS,15 MAR 1995,USA,2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 APR 2023,1207,senior,long jump
977,6.95,+1.4,Tara DAVIS-WOODHALL,20 MAY 1999,USA,1,,"Centre sportif Bout-du-Monde, Genève (SUI)",10 JUN 2023,1207,senior,long jump
977,6.95,+0.3,Larissa IAPICHINO,18 JUL 2002,ITA,1,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1207,senior,long jump
977,6.95,,Malaika MIHAMBO,03 FEB 1994,GER,1,,"Uber Arena, Berlin (GER) (i)",23 FEB 2024,1207,senior,long jump
1058,6.94,,Anișoara CUȘMIR,28 JUN 1962,ROU,1,,Bucureşti (ROU) (i),19 FEB 1983,1205,senior,long jump
1058,6.94,+0.3,Anișoara CUȘMIR,28 JUN 1962,ROU,1,,Fürth (GER),21 MAY 1983,1205,senior,long jump
1058,6.94,+1.8,Christine SCHIMA,06 SEP 1962,GDR,3,,Dresden (GER),19 MAY 1984,1205,senior,long jump
1058,6.94,+2.1,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,Tampere (FIN),14 JUN 1984,1193,senior,long jump
1058,6.94,+1.8,Tatyana PROSKURYAKOVA,13 JAN 1956,URS,1,,Kiev (URS),23 JUN 1984,1205,senior,long jump
1058,6.94,+1.3,Yelena CHICHEROVA,09 AUG 1958,URS,2,,Kiev (URS),23 JUN 1984,1205,senior,long jump
1058,6.94,,Helga RADTKE,16 MAY 1962,GDR,1,,Senftenberg (GER) (i),16 FEB 1985,1205,senior,long jump
1058,6.94,+3.7,Helga RADTKE,16 MAY 1962,GDR,2,,Dresden (GER),02 AUG 1985,1183,senior,long jump
1058,6.94,,Helga RADTKE,16 MAY 1962,GDR,1,,Senftenberg (GER) (i),16 FEB 1986,1205,senior,long jump
1058,6.94,,Helga RADTKE,16 MAY 1962,GDR,2,,"Palacio de Deportes, Madrid (ESP) (i)",22 FEB 1986,1205,senior,long jump
1058,6.94,,Helga RADTKE,16 MAY 1962,GDR,2,,"Hoosier Dome, Indianapolis, IN (USA) (i)",07 MAR 1987,1205,senior,long jump
1058,6.94,-1.0,Sheila ECHOLS,02 OCT 1964,USA,1,,"Baton Rouge, LA (USA)",05 JUN 1987,1211,senior,long jump
1058,6.94,+1.0,Helga RADTKE,16 MAY 1962,GDR,1,,Neubrandenburg (GDR),11 JUN 1987,1205,senior,long jump
1058,6.94,+1.4,Galina CHISTYAKOVA,26 JUL 1962,URS,1,,London (GBR),10 JUL 1987,1205,senior,long jump
1058,6.94,,Heike DRECHSLER,16 DEC 1964,GDR,1,,Senftenberg (GER) (i),27 FEB 1988,1205,senior,long jump
1058,6.94,+1.6,Marieta ILCU,16 OCT 1962,ROU,2,,Edinburgh (GBR),07 JUL 1989,1205,senior,long jump
1058,6.94,+0.5,Helga RADTKE,16 MAY 1962,GDR,3,,"Poljud Stadion, Split (CRO)",28 AUG 1990,1205,senior,long jump
1058,6.94,,Heike DRECHSLER,16 DEC 1964,GER,1,,Bordeaux (FRA) (i),09 FEB 1991,1205,senior,long jump
1058,6.94,-0.4,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,,Kiev (URS),19 JUN 1991,1207,senior,long jump
1058,6.94,+2.4,Larisa BEREZHNAYA,28 FEB 1961,URS,2,,Neubrandenburg (GER),21 JUN 1991,1191,senior,long jump
1058,6.94,+0.3,Inessa KRAVETS,05 OCT 1966,URS,1,,Lapinlahti (FIN),23 JUN 1991,1205,senior,long jump
1058,6.94,+1.7,Susen TIEDTKE,23 JAN 1969,GER,1,,Berlin (GER),16 JUL 1991,1205,senior,long jump
1058,6.94,,Heike DRECHSLER,16 DEC 1964,GER,1,,Berlin (GER) (i),29 JAN 1992,1205,senior,long jump
1058,6.94,+0.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,3,,Köln (GER),16 AUG 1992,1205,senior,long jump
1058,6.94,+1.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,4,,Rieti (ITA),06 SEP 1992,1205,senior,long jump
1058,6.94,,Marieta ILCU,16 OCT 1962,ROU,1,,Liévin (FRA) (i),13 FEB 1993,1205,senior,long jump
1058,6.94,,Irina MUSHAYILOVA,06 JAN 1967,RUS,1,,Moskva (RUS) (i),27 FEB 1993,1205,senior,long jump
1058,6.94,+2.2,Yelena SINCHUKOVA,23 JAN 1961,RUS,6,,Sevilla (ESP),05 JUN 1993,1192,senior,long jump
1058,6.94,+2.9,Yelena SINCHUKOVA,23 JAN 1961,RUS,2,,Roma (ITA),27 JUN 1993,1188,senior,long jump
1058,6.94,,Heike DRECHSLER,16 DEC 1964,GER,1,,Berlin (GER) (i),04 FEB 1994,1205,senior,long jump
1058,6.94,,Heike DRECHSLER,16 DEC 1964,GER,q,,Erfurt (GER),01 JUL 1994,1205,senior,long jump
1058,6.94,,Heike DRECHSLER,16 DEC 1964,GER,1,,Stuttgart (GER) (i),05 FEB 1995,1205,senior,long jump
1058,6.94,+1.7,Nadine CASTER,15 OCT 1965,FRA,3,,Villeneuve d'Ascq (FRA),25 JUN 1995,1205,senior,long jump
1058,6.94,+0.9,Heike DRECHSLER,16 DEC 1964,GER,1,,Bremen (GER),30 JUN 1995,1205,senior,long jump
1058,6.94,+1.7,Niki XANTHOU,11 OCT 1973,GRE,1,,Patra (GRE),23 JUL 1995,1205,senior,long jump
1058,6.94,+0.8,Jackie JOYNER-KERSEE,03 MAR 1962,USA,q,,"Atlanta, GA (USA)",21 JUN 1996,1205,senior,long jump
1058,6.94,-0.5,Magdalena KHRISTOVA,25 FEB 1977,BUL,2,,Kalamata (GRE),22 JUN 1996,1208,senior,long jump
1058,6.94,+0.1,Niki XANTHOU,11 OCT 1973,GRE,2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1205,senior,long jump
1058,6.94,+1.1,Tatyana TER-MESROBYAN,12 MAY 1968,RUS,2,,Chania (GRE),27 MAY 1998,1205,senior,long jump
1058,6.94,+3.5,Fiona MAY,12 DEC 1969,ITA,1,,Vilamoura (POR),30 MAY 1998,1184,senior,long jump
1058,6.94,+0.2,Heike DRECHSLER,16 DEC 1964,GER,1,,Berlin (GER),05 JUL 1998,1205,senior,long jump
1058,6.94,-0.2,Fiona MAY,12 DEC 1969,ITA,2,,"La Cartuja, Sevilla (ESP)",23 AUG 1999,1206,senior,long jump
1058,6.94,+0.1,Fiona MAY,12 DEC 1969,ITA,1,,Torino (ITA),10 JUN 2000,1205,senior,long jump
1058,6.94,+1.7,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",07 SEP 2001,1205,senior,long jump
1058,6.94,+0.2,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,Torino (ITA),06 JUN 2003,1205,senior,long jump
1058,6.94,+3.8,Tatyana KOTOVA,11 DEC 1976,RUS,2,,Glasgow (GBR),29 JUN 2003,1183,senior,long jump
1058,6.94,+1.2,Tatyana KOTOVA,11 DEC 1976,RUS,1,,Rethymno (GRE),06 JUL 2003,1205,senior,long jump
1058,6.94,-0.5,Tatyana LEBEDEVA,21 JUL 1976,RUS,2,,Moskva (RUS),02 SEP 2006,1208,senior,long jump
1058,6.94,+0.1,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,Cochabamba (BOL),03 JUN 2007,1205,senior,long jump
1058,6.94,,Irina MELESHINA,25 MAY 1982,RUS,1,,Moskva (RUS) (i),12 JAN 2008,1205,senior,long jump
1058,6.94,+1.3,Naide GOMES,20 NOV 1979,POR,1,,Moskva (RUS),01 JUL 2009,1205,senior,long jump
1058,6.94,+1.1,Darya KLISHINA,15 JAN 1991,RUS,1,,Yerino (RUS),11 JUN 2010,1205,senior,long jump
1058,6.94,+0.3,Brittney REESE,09 SEP 1986,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1205,senior,long jump
1058,6.94,-0.4,Brittney REESE,09 SEP 1986,USA,1,,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1207,senior,long jump
1058,6.94,+1.1,Maurren Higa MAGGI,25 JUN 1976,BRA,1,,Guadalajara (MEX),26 OCT 2011,1205,senior,long jump
1058,6.94,+2.5,Brittney REESE,09 SEP 1986,USA,,,"Des Moines, IA (USA)",26 APR 2013,1190,senior,long jump
1058,6.94,+0.9,Tianna BARTOLETTA,30 AUG 1985,USA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 JUL 2014,1205,senior,long jump
1058,6.94,+2.6,Éloyse LESUEUR-AYMONIN,15 JUL 1988,FRA,2,,"Olympiastadion, Stockholm (SWE)",21 AUG 2014,1190,senior,long jump
1058,6.94,+0.7,Lena MALKUS,06 AUG 1993,GER,1f1,,Weinheim (GER),30 MAY 2015,1205,senior,long jump
1058,6.94,-1.0,Sosthene MOGUENARA-TAROUM,17 OCT 1989,GER,1,,Bad Langensalza (GER),04 JUL 2015,1211,senior,long jump
1058,6.94,0.0,Brooke STRATTON,12 JUL 1993,AUS,1,,Canberra (AUS),20 FEB 2016,1205,senior,long jump
1058,6.94,-0.5,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1208,senior,long jump
1058,6.94,+0.9,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1,,"Olympisch Stadion, Amsterdam (NED)",08 JUL 2016,1205,senior,long jump
1058,6.94,,Claudia SALMAN-RATH,25 APR 1986,GER,3,,"Kombank Arena, Beograd (SRB) (i)",05 MAR 2017,1205,senior,long jump
1058,6.94,+2.4,Christabel NETTEY,02 JUN 1991,CAN,2,,"Chula Vista, CA (USA)",17 JUN 2017,1191,senior,long jump
1058,6.94,+1.0,Nastassia MIRONCHYK-IVANOVA,13 APR 1989,BLR,1,,"Maria-Theresien-Straße, Innsbruck (AUT)",05 SEP 2020,1205,senior,long jump
1058,6.94,+0.3,Lorraine UGEN,22 AUG 1991,GBR,1,,"Marietta HS, Marietta, GA (USA)",11 JUN 2021,1205,senior,long jump
1058,6.94,+1.8,Deborah ACQUAH,23 MAY 1996,GHA,3,,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022,1205,senior,long jump
1058,6.94,+1.2,Marthe KOALA,08 MAR 1994,BUR,1,,"Stade des Martyrs, Kinshasa (COD)",02 AUG 2023,1205,senior,long jump
1058,6.94,+3.7,Ese BRUME,20 JAN 1996,NGR,2,,"CVEATC, Chula Vista, CA (USA)",08 JUN 2024,1183,senior,long jump
1058,6.94,+0.1,Larissa IAPICHINO,18 JUL 2002,ITA,2,,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1205,senior,long jump
1058,6.94,+1.7,Alina ROTARU-KOTTMANN,05 JUN 1993,ROU,1,,"Municipal Theatre Of Piraeus, Piraeus (GRE)",23 JUN 2024,1205,senior,long jump
1058,6.94,+0.9,Tionna TOBIAS,14 NOV 2000,USA,1,,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1205,senior,long jump
1058,6.94,,Tacoria HUMPHREY,02 JAN 2003,USA,1,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",28 FEB 2025,1205,senior,long jump
1058,6.94,,Larissa IAPICHINO,18 JUL 2002,ITA,1,,"Omnisport, Apeldoorn (NED) (i)",08 MAR 2025,1205,senior,long jump
1058,6.94,+0.1,Lex BROWN,26 APR 2001,USA,1q1,,"Cushing Stadium, College Station, TX (USA)",29 MAY 2025,1205,senior,long jump
1058,6.94,+2.4,Esraa OWIS,15 OCT 1997,EGY,1,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",31 MAY 2025,1191,senior,long jump
1135,6.93,w,Jodi ANDERSON,11 OCT 1957,USA,1,,"Indianapolis, IN (USA)",25 JUL 1982,1172,senior,long jump
1135,6.93,+4.6,Beverly KINCH,14 JAN 1964,GBR,5,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1175,senior,long jump
1135,6.93,+1.1,Carol LEWIS,08 AUG 1963,USA,,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1202,senior,long jump
1135,6.93,+1.8,Brigitte WUJAK,06 MAR 1955,GDR,4,,Dresden (GER),19 MAY 1984,1202,senior,long jump
1135,6.93,0.0,Tatyana PROSKURYAKOVA,13 JAN 1956,URS,1,,Sochi (URS),26 MAY 1984,1202,senior,long jump
1135,6.93,,Yelena CHICHEROVA,09 AUG 1958,URS,3,,Moskva (URS),08 JUL 1984,1202,senior,long jump
1135,6.93,+0.1,Tatyana PROSKURYAKOVA,13 JAN 1956,URS,3,,Donetsk (URS),09 SEP 1984,1202,senior,long jump
1135,6.93,,Nijolé MEDVEDEVA,20 OCT 1960,URS,2,,Tokyo (JPN),14 SEP 1984,1202,senior,long jump
1135,6.93,+1.9,Tatyana PROSKURYAKOVA,13 JAN 1956,URS,2,,Moskva (URS),08 JUN 1985,1202,senior,long jump
1135,6.93,+1.9,Tatyana PROSKURYAKOVA,13 JAN 1956,URS,2,,Budapest (HUN),04 AUG 1985,1202,senior,long jump
1135,6.93,0.0,Yelena BELEVSKAYA,11 OCT 1963,URS,1,,Tallinn (EST),11 AUG 1985,1202,senior,long jump
1135,6.93,+1.9,Heike DRECHSLER,16 DEC 1964,GDR,1,,Sydney (AUS),28 SEP 1985,1202,senior,long jump
1135,6.93,+3.8,Carol LEWIS,08 AUG 1963,USA,1,,"Eugene, OR (USA)",21 JUN 1986,1180,senior,long jump
1135,6.93,+1.3,Eva MURKOVÁ,29 MAY 1962,TCH,1,,Bratislava (TCH),04 SEP 1986,1202,senior,long jump
1135,6.93,+0.6,Marieta ILCU,16 OCT 1962,ROU,1,,Bucureşti (ROU),02 JUL 1987,1202,senior,long jump
